Enfoque,Sesion,Tiempo_s,FO_Mejor
B_VNS_Profundo,3,310.54,878.19
B_VNS_Profundo,3,326.06,874.97
B_VNS_Profundo,3,336.47,874.41
B_VNS_Profundo,3,346.9,870.8
B_VNS_Profundo,3,359.21,866.17
B_VNS_Profundo,3,412.34,863.15
B_VNS_Profundo,3,425.03,858.59
B_VNS_Profundo,3,435.59,856.44
B_VNS_Profundo,3,456.42,852.36
B_VNS_Profundo,3,466.98,851.34
B_VNS_Profundo,3,482.91,851.13
B_VNS_Profundo,3,533.49,847.11
B_VNS_Profundo,3,602.11,845.27
B_VNS_Profundo,3,631.07,842.52
B_VNS_Profundo,3,645.62,841.89
B_VNS_Profundo,3,698.14,836.33
B_VNS_Profundo,3,710.4,836.01
B_VNS_Profundo,3,722.39,834.52
B_VNS_Profundo,3,761.08,833.87
B_VNS_Profundo,3,774.92,832.52
B_VNS_Profundo,3,800.75,828.65
B_VNS_Profundo,3,874.38,824.25
B_VNS_Profundo,3,884.86,823.59
B_VNS_Profundo,3,915.76,820.49
B_VNS_Profundo,3,932.39,819.76
B_VNS_Profundo,3,967.95,817.38
B_VNS_Profundo,3,996.51,816.71
B_VNS_Profundo,3,1030.91,816.08
B_VNS_Profundo,3,1321.71,812.77
B_VNS_Profundo,3,1332.15,812.51
B_VNS_Profundo,3,1344.72,809.99
B_VNS_Profundo,3,1358.91,808.02
B_VNS_Profundo,3,1371.46,806.83
B_VNS_Profundo,3,1396.24,799.31
B_VNS_Profundo,3,1409.84,798.92
B_VNS_Profundo,3,1428.97,797.36
B_VNS_Profundo,3,1708.09,796.71
B_VNS_Profundo,3,1884.35,796.4
B_VNS_Profundo,3,1970.38,795.86
B_VNS_Profundo,3,2047.18,792.55
B_VNS_Profundo,3,2177.42,791.14
B_VNS_Profundo,3,2209.91,787.96
B_VNS_Profundo,3,2262.15,787.5
B_VNS_Profundo,3,2294.54,785.86
B_VNS_Profundo,3,2415.44,784.65
B_VNS_Profundo,3,2429.49,782.75
B_VNS_Profundo,3,2496.15,782.71
B_VNS_Profundo,3,2553.72,781.63
B_VNS_Profundo,3,2755.54,780.68
B_VNS_Profundo,3,2769.65,780.29
B_VNS_Profundo,3,2888.86,777.24
B_VNS_Profundo,3,3160.16,777.17
B_VNS_Profundo,3,3176.78,773.77
B_VNS_Profundo,3,3346.75,773.24
B_VNS_Profundo,3,3375.01,772.35
B_VNS_Profundo,3,3526.54,771.93
B_VNS_Profundo,3,3616.17,771.93
